pr_id,pr_author,reviewed_by,review_state,review_text,reviewed_at
65508,jbrockmendel,mroeschke,APPROVED,,2026-05-08T17:51:58Z
65506,jbrockmendel,mroeschke,APPROVED,,2026-05-08T17:39:57Z
65505,jbrockmendel,mroeschke,APPROVED,,2026-05-08T17:26:04Z
65504,jbrockmendel,mroeschke,APPROVED,,2026-05-08T17:27:12Z
65503,jbrockmendel,rhshadrach,APPROVED,"lgtm, just a few backticks that should be doubled for rst.",2026-05-07T20:53:17Z
65503,jbrockmendel,mroeschke,APPROVED,,2026-05-08T17:24:50Z
65499,jorisvandenbossche,jbrockmendel,APPROVED,,2026-05-07T16:10:22Z
65497,jorisvandenbossche,mroeschke,APPROVED,Sure let's try this out!,2026-05-07T16:17:07Z
65496,janosh,attack68,APPROVED,LGTM,2026-05-07T07:30:57Z
65493,jbrockmendel,mroeschke,APPROVED,,2026-05-08T17:54:22Z
65492,jbrockmendel,mroeschke,APPROVED,,2026-05-06T22:14:07Z
65491,jbrockmendel,mroeschke,APPROVED,,2026-05-06T22:18:47Z
65482,jorisvandenbossche,jbrockmendel,APPROVED,,2026-05-06T15:12:13Z
65481,jorisvandenbossche,jbrockmendel,APPROVED,,2026-05-06T15:59:08Z
65477,mitre88,jbrockmendel,COMMENTED,,2026-05-11T21:10:36Z
65476,jbrockmendel,mroeschke,COMMENTED,,2026-05-06T22:23:25Z
65476,jbrockmendel,jbrockmendel,COMMENTED,,2026-05-07T00:17:27Z
65476,jbrockmendel,mroeschke,APPROVED,,2026-05-07T16:18:31Z
65474,Alvaro-Kothe,mroeschke,APPROVED,,2026-05-06T22:24:43Z
65470,jorisvandenbossche,mroeschke,APPROVED,,2026-05-05T16:36:03Z
65466,tamhahn,jorisvandenbossche,COMMENTED,"Thanks for the PR, looking good! Added a few small comments",2026-05-06T12:43:34Z
65466,tamhahn,Dr-Irv,COMMENTED,"I didn't look at the code, but I think this would need a `whatsnew`, right?",2026-05-08T21:33:22Z
65466,tamhahn,jorisvandenbossche,APPROVED,,2026-05-11T08:42:30Z
65465,Dr-Irv,mroeschke,APPROVED,,2026-05-05T16:38:24Z
65461,jorisvandenbossche,mroeschke,APPROVED,"Thanks for the follow up!

Agreed that longer term, it would be good to set up a bot via a Github App to be the most secure way to manage these PRs",2026-05-04T15:21:33Z
65459,dependabot[bot],mroeschke,APPROVED,,2026-05-04T15:07:05Z
65455,mroeschke,jorisvandenbossche,APPROVED,,2026-05-04T10:36:54Z
65455,mroeschke,mroeschke,COMMENTED,,2026-05-04T17:44:57Z
65455,mroeschke,mroeschke,COMMENTED,,2026-05-04T17:45:34Z
65455,mroeschke,jorisvandenbossche,COMMENTED,,2026-05-06T12:23:50Z
65455,mroeschke,jorisvandenbossche,COMMENTED,,2026-05-06T12:27:19Z
65455,mroeschke,jorisvandenbossche,COMMENTED,,2026-05-06T12:56:42Z
65455,mroeschke,jorisvandenbossche,COMMENTED,,2026-05-07T07:28:42Z
65455,mroeschke,jorisvandenbossche,COMMENTED,,2026-05-07T12:31:07Z
65453,Alvaro-Kothe,jorisvandenbossche,APPROVED,,2026-05-04T12:45:13Z
65453,Alvaro-Kothe,mroeschke,APPROVED,,2026-05-04T15:28:30Z
65451,jbrockmendel,mroeschke,APPROVED,,2026-05-04T15:31:04Z
65450,jbrockmendel,mroeschke,APPROVED,,2026-05-04T15:32:34Z
65447,github-actions[bot],mroeschke,APPROVED,,2026-05-03T17:25:45Z
65445,vkverma9534,jbrockmendel,COMMENTED,,2026-05-02T14:29:13Z
65441,praneethhere,rhshadrach,CHANGES_REQUESTED,"This looks good, but to close out the issue we'd also need to update the API docs for `DataFrame.std` to read somethign like

```rst
        Notes
        -----
        To have the same behaviour as ``numpy.std``, use ``ddof=0`` (instead of the
        default ``ddof=1``) and ``skipna=False``.
```

Note I'm also fixing the single backticks here.

In addition, I think we should also add this note to all `std` methods (there are many - can search the codebase for `def std(`)",2026-05-03T13:39:43Z
65441,praneethhere,rhshadrach,APPROVED,lgtm,2026-05-06T00:43:55Z
65440,jbrockmendel,mroeschke,APPROVED,,2026-05-01T16:11:42Z
65439,jbrockmendel,mroeschke,APPROVED,,2026-05-07T16:20:08Z
65438,jbrockmendel,mroeschke,APPROVED,,2026-05-03T17:36:27Z
65437,jbrockmendel,mroeschke,APPROVED,,2026-05-01T16:14:04Z
65435,jbrockmendel,mroeschke,APPROVED,,2026-05-03T17:38:34Z
65434,jbrockmendel,mroeschke,APPROVED,,2026-05-01T16:08:35Z
65433,github-actions[bot],mroeschke,APPROVED,,2026-05-01T16:07:14Z
65433,github-actions[bot],jorisvandenbossche,COMMENTED,,2026-05-04T13:30:54Z
65431,jbrockmendel,jorisvandenbossche,APPROVED,"Thanks for taking a look at this!

Logic of skipping it in the obvious cases looks good to me",2026-05-01T15:59:45Z
65431,jbrockmendel,jbrockmendel,COMMENTED,,2026-05-02T00:50:43Z
65431,jbrockmendel,jbrockmendel,COMMENTED,,2026-05-06T17:39:28Z
65431,jbrockmendel,jorisvandenbossche,APPROVED,,2026-05-07T13:03:01Z
65430,jbrockmendel,jorisvandenbossche,APPROVED,,2026-05-01T11:26:31Z
65429,jbrockmendel,mroeschke,APPROVED,,2026-04-30T16:58:06Z
65426,jorisvandenbossche,rhshadrach,APPROVED,"lgtm, I swear it was autocorrect or something that got me 😆 ",2026-04-30T20:19:34Z
65424,jorisvandenbossche,mroeschke,APPROVED,,2026-04-30T16:25:09Z
