pr_id,pr_author,reviewed_by,review_state,review_text,reviewed_at
7658,sfc-gh-mvashishtha,sfc-gh-mvashishtha,COMMENTED,"> Also, how much of the pandas code did you need to change besides pointing import paths to modin equivalents of pandas modules? If it was very little then we may want to make clearer from folder naming that this is essentially vendored pandas code.

@sfc-gh-joshi I did make very few changes, but I don't think it's that important to point out with the directory structure that some code has been vendored from pandas. If we were to vendor an entire package I think it would make sense to put it in a new `vendored` directory. We are also putting some modified code in dataframe.py and other modified code in modin/core/computation/.",2025-09-04T21:02:40Z
7658,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-09-04T21:23:37Z
7658,sfc-gh-mvashishtha,sfc-gh-dpetersohn,COMMENTED,,2025-09-05T14:49:05Z
7654,sfc-gh-joshi,sfc-gh-jkew,APPROVED,Makes sense to me,2025-08-27T20:18:42Z
7650,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-08-14T18:43:54Z
7649,sfc-gh-joshi,sfc-gh-mvashishtha,COMMENTED,I think we only edit badges for patch versions.,2025-08-14T18:30:48Z
7648,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-08-08T17:33:38Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T18:45:20Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T19:03:26Z
7648,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-08-08T19:15:00Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T19:47:55Z
7648,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-08-08T20:15:14Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T20:41:31Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T20:46:15Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T20:51:43Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T20:53:21Z
7648,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-08-08T21:36:23Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T23:04:52Z
7648,sfc-gh-jkew,sfc-gh-dolee,COMMENTED,,2025-08-08T23:26:23Z
7648,sfc-gh-jkew,sfc-gh-joshi,APPROVED,,2025-08-11T19:04:59Z
7646,sfc-gh-mvashishtha,sfc-gh-jkew,APPROVED,,2025-08-08T16:42:29Z
7646,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-08-08T16:45:16Z
7644,sfc-gh-joshi,sfc-gh-jkew,APPROVED,,2025-08-06T21:01:54Z
7644,sfc-gh-joshi,sfc-gh-jkew,APPROVED,,2025-08-06T23:08:38Z
7641,sfc-gh-mvashishtha,sfc-gh-jkew,APPROVED,,2025-08-04T20:12:42Z
7639,sfc-gh-joshi,github-advanced-security[bot],COMMENTED,,2025-08-01T22:50:43Z
7639,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,one optional comment,2025-08-01T23:02:22Z
7639,sfc-gh-joshi,github-advanced-security[bot],COMMENTED,,2025-08-05T18:30:51Z
7639,sfc-gh-joshi,github-advanced-security[bot],COMMENTED,,2025-08-06T17:52:21Z
7637,sfc-gh-mvashishtha,sfc-gh-mvashishtha,COMMENTED,,2025-07-31T21:56:19Z
7637,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-07-31T22:00:48Z
7635,sfc-gh-joshi,sfc-gh-mvashishtha,COMMENTED,,2025-07-31T18:01:33Z
7635,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-07-31T18:05:23Z
7635,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-07-31T20:07:07Z
7634,sfc-gh-joshi,github-advanced-security[bot],COMMENTED,,2025-07-28T18:45:22Z
7634,sfc-gh-joshi,github-advanced-security[bot],COMMENTED,,2025-07-30T00:06:34Z
7634,sfc-gh-joshi,sfc-gh-jkew,APPROVED,,2025-07-31T19:49:58Z
7634,sfc-gh-joshi,sfc-gh-mvashishtha,COMMENTED,,2025-07-31T20:06:24Z
7634,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-07-31T20:45:19Z
7634,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-07-31T21:18:26Z
7630,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-07-22T19:43:57Z
7628,sfc-gh-vrpatel,sfc-gh-joshi,CHANGES_REQUESTED,"Mostly LGTM, just some minor style things. @sfc-gh-mvashishtha @sfc-gh-jkew you should also take a look if you have the time.",2025-07-18T19:36:17Z
7628,sfc-gh-vrpatel,sfc-gh-jkew,COMMENTED,,2025-07-18T23:24:42Z
7628,sfc-gh-vrpatel,sfc-gh-mvashishtha,COMMENTED,Thanks @sfc-gh-vrpatel! I have a few comments.,2025-07-19T00:06:44Z
7628,sfc-gh-vrpatel,sfc-gh-mvashishtha,COMMENTED,Thanks @sfc-gh-vrpatel! I have a few comments.,2025-07-19T00:06:46Z
7628,sfc-gh-vrpatel,sfc-gh-vrpatel,COMMENTED,,2025-07-19T00:16:57Z
7628,sfc-gh-vrpatel,sfc-gh-vrpatel,COMMENTED,,2025-07-19T00:23:25Z
7628,sfc-gh-vrpatel,sfc-gh-vrpatel,COMMENTED,,2025-07-19T00:39:14Z
7628,sfc-gh-vrpatel,sfc-gh-vrpatel,COMMENTED,,2025-07-19T00:49:18Z
7628,sfc-gh-vrpatel,sfc-gh-mvashishtha,COMMENTED,,2025-07-21T21:24:09Z
7628,sfc-gh-vrpatel,sfc-gh-joshi,COMMENTED,,2025-07-22T23:33:35Z
7628,sfc-gh-vrpatel,sfc-gh-vrpatel,COMMENTED,,2025-07-22T23:56:32Z
7628,sfc-gh-vrpatel,sfc-gh-joshi,COMMENTED,,2025-07-23T22:33:16Z
7628,sfc-gh-vrpatel,sfc-gh-joshi,APPROVED,"One minor comment re: progress bar, otherwise LGTM!",2025-07-23T22:33:51Z
7628,sfc-gh-vrpatel,sfc-gh-mvashishtha,APPROVED,"Thanks for responding to my comments, @sfc-gh-vrpatel !",2025-07-25T16:24:29Z
7628,sfc-gh-vrpatel,sfc-gh-joshi,APPROVED,,2025-07-25T18:33:26Z
7626,sfc-gh-mvashishtha,sfc-gh-jkew,APPROVED,,2025-07-09T19:27:46Z
7625,sfc-gh-mvashishtha,sfc-gh-jkew,APPROVED,assuming this is just a git tag,2025-07-04T04:51:35Z
7625,sfc-gh-mvashishtha,devin-petersohn,APPROVED,"@sfc-gh-jkew historically, we have done an empty commit and a git tag. ",2025-07-07T13:25:10Z
7623,sfc-gh-mvashishtha,sfc-gh-joshi,COMMENTED,,2025-07-03T17:33:57Z
7623,sfc-gh-mvashishtha,sfc-gh-mvashishtha,COMMENTED,,2025-07-03T21:42:28Z
7623,sfc-gh-mvashishtha,sfc-gh-joshi,COMMENTED,,2025-07-03T21:53:41Z
7623,sfc-gh-mvashishtha,sfc-gh-mvashishtha,COMMENTED,,2025-07-03T22:10:48Z
7623,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-07-08T02:57:48Z
7621,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-07-03T17:26:20Z
7619,sfc-gh-mvashishtha,github-advanced-security[bot],COMMENTED,,2025-07-03T06:43:57Z
7619,sfc-gh-mvashishtha,sfc-gh-joshi,COMMENTED,,2025-07-03T17:49:17Z
7619,sfc-gh-mvashishtha,sfc-gh-mvashishtha,COMMENTED,,2025-07-03T21:55:18Z
7619,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-07-03T22:00:24Z
7617,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-06-28T00:09:11Z
7617,sfc-gh-joshi,sfc-gh-jkew,COMMENTED,,2025-06-28T00:16:06Z
7617,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-06-28T03:10:09Z
7614,sfc-gh-mvashishtha,sfc-gh-jkew,APPROVED,,2025-06-27T20:07:28Z
7612,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-06-25T22:33:20Z
7610,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-06-18T23:21:55Z
7609,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-06-18T22:49:51Z
7608,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,"LGTM, just one high-level question I want to make sure of: do we want a groupby object's pin status to be permanently separate from that of its parent object, as it is in this PR?

```
df = pd.DataFrame(...).pin_backend()
groupby = df.groupby(...)  # should be pinned
df.unpin_backend(inplace=True)  # should not affect the pin status of the groupby object
```",2025-06-18T18:47:19Z
7605,sfc-gh-jkew,github-advanced-security[bot],COMMENTED,,2025-06-09T20:50:17Z
7605,sfc-gh-jkew,sfc-gh-mvashishtha,APPROVED,,2025-06-10T18:35:54Z
7603,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-06-04T18:36:18Z
7601,sfc-gh-mvashishtha,sfc-gh-joshi,COMMENTED,,2025-06-04T22:27:58Z
7601,sfc-gh-mvashishtha,sfc-gh-mvashishtha,COMMENTED,,2025-06-16T05:05:12Z
7601,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-06-16T19:30:34Z
7599,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-05-31T02:16:07Z
7597,sfc-gh-mvashishtha,sfc-gh-jkew,APPROVED,,2025-05-30T20:29:32Z
7597,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,Should we use a different logging namespace for cost calculation/switching behavior? Otherwise LGTM.,2025-05-30T20:31:30Z
7596,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-05-30T17:01:55Z
7593,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-05-28T19:30:37Z
7593,sfc-gh-mvashishtha,sfc-gh-jkew,APPROVED,,2025-05-28T19:54:22Z
7588,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-05-27T18:59:33Z
7585,sfc-gh-vrpatel,sfc-gh-joshi,CHANGES_REQUESTED,,2025-05-27T20:56:50Z
7585,sfc-gh-vrpatel,sfc-gh-joshi,CHANGES_REQUESTED,,2025-05-28T23:20:46Z
